Title,Company
DevOps Engineer(3년 이상),오픈서베이,https://www.wanted.co.kr/wd/246481
데브옵스 엔지니어,키즈노트,https://www.wanted.co.kr/wd/246728
DevOps 엔지니어,시어스랩(Seerslab),https://www.wanted.co.kr/wd/245408
[Web Service] DevOps Engineer,오픈엣지스퀘어,https://www.wanted.co.kr/wd/205787
시스템 운영개발(DevOps) (IT인프라지원),샘표식품,https://www.wanted.co.kr/wd/246145
시니어 DevOps 엔지니어 (서울/대구),엘비스(LVIS),https://www.wanted.co.kr/wd/240787
DevOps 엔지니어,스트리미(Streami),https://www.wanted.co.kr/wd/217310
DEVOPS 개발자,섬재,https://www.wanted.co.kr/wd/245442
DevOps Engineer(3년 이상),오픈서베이,https://www.wanted.co.kr/wd/246481
데브옵스 엔지니어,키즈노트,https://www.wanted.co.kr/wd/246728
DevOps 엔지니어,시어스랩(Seerslab),https://www.wanted.co.kr/wd/245408
[Web Service] DevOps Engineer,오픈엣지스퀘어,https://www.wanted.co.kr/wd/205787
시스템 운영개발(DevOps) (IT인프라지원),샘표식품,https://www.wanted.co.kr/wd/246145
시니어 DevOps 엔지니어 (서울/대구),엘비스(LVIS),https://www.wanted.co.kr/wd/240787
DevOps 엔지니어,스트리미(Streami),https://www.wanted.co.kr/wd/217310
DEVOPS 개발자,섬재,https://www.wanted.co.kr/wd/245442
DevOps Engineer (3년 이상),카펜스트리트(에이콘3D),https://www.wanted.co.kr/wd/231563
Senior DevOps Engineer,쏘카(SOCAR),https://www.wanted.co.kr/wd/245104
DevOps Engineer (3년 이상),메이크스타,https://www.wanted.co.kr/wd/203273
DevOps Engineer (전문연구요원 가능),누비랩,https://www.wanted.co.kr/wd/246194
Devops 엔지니어 (팀원),에이에프아이,https://www.wanted.co.kr/wd/96594
DevOps(데브옵스) 엔지니어,엔에이치44,https://www.wanted.co.kr/wd/245933
[TADA] DevOps Engineer,이지식스(엠블),https://www.wanted.co.kr/wd/213955
백앤드/데브옵스 개발자,룰루랩(lululab),https://www.wanted.co.kr/wd/240305
DevOps 엔지니어,싸이터,https://www.wanted.co.kr/wd/242438
DevOps 엔지니어,아더월드,https://www.wanted.co.kr/wd/224066
GitLab & DevOps솔루션 엔지니어,플래티어,https://www.wanted.co.kr/wd/242189
Customer On-prem Engineer (DevOps),올거나이즈코리아(Allganize Korea),https://www.wanted.co.kr/wd/230514
DevOps 엔지니어,스카이랩스(SkyLabs),https://www.wanted.co.kr/wd/222863
DevOps엔지니어 (3년 이상),크레버스,https://www.wanted.co.kr/wd/236434
DevOps/MLOps Engineer (Senior),웨어러블에이아이,https://www.wanted.co.kr/wd/239422
Senior DevOps Engineer,라쿠텐심포니코리아,https://www.wanted.co.kr/wd/227499
[병역특례] DevOps Engineer(산업기능요원/보충역/전직),페이타랩(패스오더),https://www.wanted.co.kr/wd/217789
아틀라시안 & 데브옵스 솔루션 엔지니어,플래티어,https://www.wanted.co.kr/wd/126370
Senior DevOps Engineer,두나무(업비트/증권플러스),https://www.wanted.co.kr/wd/213865
DevOps 개발자 (6년 이상),키다리스튜디오,https://www.wanted.co.kr/wd/199108
데브옵스 엔지니어,와탭랩스(WhaTapLabs),https://www.wanted.co.kr/wd/40159
DevOps Engineer,엘박스,https://www.wanted.co.kr/wd/232802
[SWING] DevOps Engineer,더스윙,https://www.wanted.co.kr/wd/241853
DevOps Team Leader,모두싸인,https://www.wanted.co.kr/wd/234746
[웹3 개발팀] DevOps 엔지니어 (책임),이노그리드,https://www.wanted.co.kr/wd/241875
AI DevOps,업스테이지,https://www.wanted.co.kr/wd/163297
MLOps Engineer (DevOps Engineer),플루언트,https://www.wanted.co.kr/wd/213313
[빗썸] DevOps 엔지니어,빗썸,https://www.wanted.co.kr/wd/236790
DevOps 엔지니어,클래스팅(Classting),https://www.wanted.co.kr/wd/228181
DevOps Team Leader,여기어때컴퍼니,https://www.wanted.co.kr/wd/198337
[제타] Site Reliability Engineer (DevOps),스캐터랩(Scatterlab),https://www.wanted.co.kr/wd/237439
DevOps 플랫폼 개발자,카카오페이증권(kakaopay증권),https://www.wanted.co.kr/wd/190373
[Infra Div.] Publishing DevOps (3년 이상),크래프톤(Krafton),https://www.wanted.co.kr/wd/174977
DevOps Engineer (TA/AA),오케스트로,https://www.wanted.co.kr/wd/229114
devops 개발자,디카르고,https://www.wanted.co.kr/wd/229117
DevOps 엔지니어,인포그랩,https://www.wanted.co.kr/wd/108741
Senior DevOps Engineer · AI Platform,루닛(Lunit),https://www.wanted.co.kr/wd/236331
DevOps 컨설턴트,인포그랩,https://www.wanted.co.kr/wd/138512
DevOps,워트인텔리전스,https://www.wanted.co.kr/wd/223800
[아정당] DevOps 개발자 (2년이상),아정네트웍스,https://www.wanted.co.kr/wd/241759
